household_key,clusters
1,3
2,4
3,1
4,3
5,4
6,2
7,1
8,1
9,1
10,6
11,5
12,3
13,2
14,4
15,1
16,3
17,5
18,3
19,2
20,2
21,6
22,5
23,6
24,1
25,4
26,3
27,6
28,6
29,1
30,2
31,2
32,1
33,2
34,4
35,1
36,3
37,1
38,3
39,1
40,5
41,6
42,3
43,2
44,1
45,0
46,1
47,4
48,1
49,4
50,6
51,3
52,6
53,6
54,1
55,4
56,3
57,4
58,2
59,3
60,5
61,5
62,3
63,5
64,1
65,2
66,1
67,3
68,3
69,1
70,5
71,2
72,1
73,4
74,3
75,5
76,3
77,3
78,4
79,2
80,2
81,6
82,5
83,1
84,0
85,4
86,1
87,2
88,4
89,5
90,6
91,4
92,4
93,1
94,2
95,4
96,1
97,2
98,1
99,1
100,4
101,3
103,4
104,3
105,1
106,4
107,6
108,4
109,1
110,4
111,2
112,5
113,3
114,6
115,4
116,3
117,3
118,4
119,4
120,5
121,3
122,4
123,1
124,4
125,4
126,6
127,5
128,2
129,1
131,4
132,3
133,3
134,3
135,3
136,1
137,4
138,4
139,2
140,1
141,2
142,3
143,2
144,4
145,4
146,1
147,4
148,6
149,5
150,5
151,1
152,1
153,1
154,4
155,4
156,2
157,4
158,5
159,1
160,2
161,6
162,1
163,1
164,1
165,5
166,3
167,5
168,5
169,5
170,6
171,1
172,6
173,3
174,3
175,4
176,4
177,4
178,0
179,6
180,6
181,5
182,1
183,6
184,2
185,4
186,3
187,4
188,6
189,5
190,1
191,3
192,3
193,2
194,4
195,3
196,1
197,4
198,1
199,3
200,4
201,1
202,5
203,4
204,3
205,6
206,3
207,6
208,3
209,5
210,5
211,1
212,2
213,6
214,6
215,4
216,4
217,4
218,2
219,5
220,4
221,3
222,1
223,1
224,3
225,1
226,3
227,1
228,5
229,6
230,3
231,6
232,4
233,3
234,6
235,2
236,3
237,3
238,2
239,3
240,3
241,1
242,1
243,2
244,4
245,4
246,6
247,4
248,4
249,1
250,3
251,4
252,6
253,1
254,0
255,1
256,4
257,1
258,4
259,4
260,1
261,2
262,1
263,3
264,4
265,1
266,4
267,3
268,6
269,4
270,4
271,3
272,5
273,4
274,3
275,2
276,2
277,6
278,0
279,5
280,5
281,6
282,4
283,2
284,4
285,6
286,1
287,4
288,5
289,2
290,1
291,3
292,1
293,4
294,1
295,3
296,3
297,6
299,3
300,4
301,6
302,2
303,1
